Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T3-02,0.9472,0.51,1.5716,-0.3,1.1131,-0.97,-0.0337,1.41,-2.18,32.89,-2.44,-1.83,0.28,4.68,-0.34,5.84,2.08,0.13,1.92,2.25,0.52,-0.25,-4.88,26.55,6.18,7.28,0.07,1.13,2.21,1.64,0.61
T4-02,0.2941,1.61,-1.3161,-3.85,1.0113,1.42,1.2187,1.62,-0.46,21.52,2.45,0.92,1.36,4.31,0.83,4.89,2.17,1.3,1.11,1.35,0.19,2.59,-1.02,19.29,9.14,5.11,-0.21,-0.28,1.15,-0.3,-0.48
T1-03,0.0121,2.22,2.148,2.75,-0.8512,1.84,0.8795,2.45,2.86,14.63,6.98,-0.45,4.01,4.26,0.59,11.81,3.34,2.64,0.94,2.17,0.86,3.9,0.92,16.13,4.3,2.86,1.01,0.32,-0.63,-2.88,0.45
T2-03,-0.0068,1.24,2.0929,4.53,0.4683,1.74,0.6387,0.57,2.73,4.06,4.68,0.62,0.33,-2.36,-1.3,11.45,3.75,1.4,0.88,1.53,1.67,3.17,2.03,8.26,-6.1,1.28,0.66,0.49,0.42,-4.58,0.7
T3-03,0.2358,0.36,1.4089,4.36,0.0552,0.68,1.8454,-0.22,4.66,-2.45,0.29,-0.42,0.1,-2.85,-0.26,11.69,3.75,0.55,-0.82,2.07,-1.27,0.68,0.55,1.03,-2.94,3.42,0.6,-1.8,-0.25,5.05,2.74
T4-03,0.803,1.06,-2.3445,3.28,0.6873,0.35,1.1436,1.07,4.58,-2.5,-1.22,-0.46,1.28,-1.19,0.51,23.43,4.07,3.32,-1.89,2.77,-1.06,-0.42,0.64,-4.35,-1.57,4.55,0.48,-0.07,0.04,1.11,0.6
T1-04,1.3811,2.41,5.6893,6.86,1.908,3.15,0.1092,1.79,3.78,19.06,5.69,1.38,0.75,-0.36,2.72,20.88,4.06,3.58,-1.49,1.88,-1.24,5.56,8.02,-3.34,1.39,5.63,0.13,0.14,5.34,0.04,1.49
T2-04,1.0557,3.65,-3.0031,1.52,1.181,3.88,0.188,3.69,3.32,20.83,8.02,2.01,3.79,2.89,3.66,22.39,5.64,5.76,-1.22,2.0,-1.61,6.47,8.39,-1.17,9.51,7.55,0.79,0.12,1.29,3.06,2.53
T3-04,0.6214,3.54,-3.0974,-2.99,-0.0553,3.76,-0.9054,3.82,0.53,25.0,6.18,2.86,3.68,3.84,4.61,25.56,3.51,5.5,0.07,2.08,-0.63,5.68,4.8,9.23,5.99,5.45,0.68,-0.82,-1.0,1.68,0.73
T4-04,0.4799,3.7,4.6195,3.93,0.6194,3.69,0.141,3.96,-0.47,26.19,8.06,2.54,4.99,5.48,4.56,7.73,2.57,0.54,1.27,2.66,0.28,8.46,8.19,9.61,5.43,7.55,1.05,0.85,2.67,0.57,2.6
T1-05,0.2824,2.58,-4.84,-6.42,0.672,2.44,-0.773,2.5,-1.35,7.09,3.09,3.25,3.46,3.71,3.39,-5.47,2.76,5.03,-0.56,2.42,0.65,4.63,4.34,6.15,7.4,6.44,-0.11,0.51,1.63,1.91,0.44
T2-05,0.1779,1.25,-1.8321,-5.3,0.1291,1.37,3.5758,1.44,1.99,7.89,1.68,0.72,1.65,3.35,2.7,-14.43,1.09,2.79,-1.72,1.76,1.04,3.21,1.2,11.88,5.14,4.83,0.14,0.5,-0.08,0.89,0.98
T3-05,0.9568,2.34,7.4148,4.98,0.3771,1.81,-2.9674,2.56,-0.13,6.82,3.41,1.65,3.55,4.28,2.14,-19.26,2.22,2.52,2.28,2.5,3.64,4.72,4.01,7.41,4.0,5.15,1.41,1.74,0.44,0.57,1.04
T4-05,1.8575,3.14,-4.8445,-4.52,2.9743,4.19,1.9286,2.85,1.65,5.73,4.64,4.68,4.98,3.92,3.47,-12.56,3.0,1.95,3.2,2.58,4.16,6.92,5.54,12.36,9.99,9.0,1.13,1.35,4.83,6.37,6.36
T1-06,1.802,4.95,4.5837,4.94,1.4069,4.95,-0.1188,5.03,2.32,11.88,4.46,5.72,8.43,7.91,4.3,0.24,3.61,-0.32,6.22,4.53,4.73,8.07,7.07,11.84,11.46,10.74,1.79,1.07,2.71,3.26,2.05
T2-06,0.9597,5.81,1.803,8.82,1.1608,6.03,-1.2041,5.41,-2.4,14.47,9.16,7.12,9.23,6.15,5.14,13.65,4.72,2.07,5.56,5.51,4.21,11.23,12.24,7.34,12.52,10.63,1.07,0.0,2.84,1.86,0.87
T3-06,0.2992,5.01,-1.4701,-0.18,0.5941,6.26,-0.3277,4.35,0.25,16.18,12.8,5.51,6.56,3.39,4.69,18.47,4.92,4.99,-0.53,4.53,1.55,11.93,13.0,7.61,9.51,8.97,0.48,-0.87,1.07,-2.12,-0.47
T4-06,0.3794,3.47,4.2912,9.41,-0.2433,2.94,-1.6566,3.27,-3.27,16.84,8.84,2.24,4.06,1.89,2.39,18.23,4.5,4.52,-2.93,3.54,-0.36,7.25,9.13,0.64,1.96,1.67,0.17,-0.55,0.46,-0.97,-0.77
T1-07,0.6488,2.19,1.3705,6.04,0.4769,2.0,1.7002,2.31,-1.51,9.01,6.3,1.3,1.79,1.06,2.53,12.53,2.94,2.88,-3.75,2.04,-0.36,4.67,5.99,-0.5,-0.64,2.54,0.31,1.06,0.24,0.63,2.92
